"","ID","round","moved","y"
"245",72,0,1,1
"246",72,1,1,0
"247",72,2,1,1
"248",72,3,1,0
"249",74,0,1,0
"250",74,1,1,1
"251",74,2,1,1
"252",74,3,1,0
"253",76,0,1,0
"254",76,1,1,0
"255",76,2,1,0
"256",76,3,1,1
"257",77,0,1,1
"258",77,1,0,0
"259",77,2,1,0
"260",77,3,0,0
"261",78,0,0,1
"262",78,1,0,1
"263",78,2,0,1
"264",78,3,0,1
"265",79,0,0,1
"266",79,1,0,0
"267",79,2,0,0
"268",79,3,0,0
"269",80,0,0,1
"270",80,1,0,1
"271",80,2,0,1
"272",80,3,0,1
"273",81,0,0,1
"274",81,1,0,1
"275",81,2,0,0
"276",81,3,0,1
"277",84,0,0,0
"278",84,1,1,1
"279",84,2,0,0
"280",84,3,0,0
"281",86,0,1,1
"282",86,1,1,0
"283",86,2,1,0
"284",86,3,1,0
"285",87,0,1,0
"286",87,1,1,0
"287",87,2,1,0
"288",87,3,1,0
"289",88,0,0,0
"290",88,1,0,0
"291",88,2,0,0
"292",88,3,0,0
"293",89,0,0,0
"294",89,1,0,0
"295",89,2,0,0
"296",89,3,0,0
"297",90,0,0,0
"298",90,1,0,1
"299",90,2,0,0
"300",90,3,0,1
"301",91,0,0,0
"302",91,1,0,1
"303",91,2,0,0
"304",91,3,0,1
"305",92,0,0,0
"306",92,1,0,0
"307",92,2,0,1
"308",92,3,0,1
"309",93,0,0,0
"310",93,1,0,1
"311",93,2,0,0
"312",93,3,0,1
"313",94,0,0,0
"314",94,1,0,1
"315",94,2,0,1
"316",94,3,0,1
"317",95,0,0,0
"318",95,1,0,0
"319",95,2,0,0
"320",95,3,0,1
"321",96,0,0,0
"322",96,1,0,1
"323",96,2,0,1
"324",96,3,0,1
"325",97,0,1,1
"326",97,1,1,0
"327",97,2,1,0
"328",97,3,1,0
"329",98,0,1,0
"330",98,1,1,0
"331",98,2,1,0
"332",98,3,1,1
"333",99,1,0,0
"334",99,2,1,0
"335",99,3,0,1
"336",102,0,0,1
"337",102,1,0,1
"338",102,2,0,1
"339",102,3,0,1
"340",103,0,0,1
"341",103,1,0,1
"342",103,2,0,1
"343",103,3,0,1
"344",104,0,0,1
"345",104,1,1,0
"346",104,2,1,1
"347",104,3,1,0
"348",105,0,0,1
"349",105,1,0,1
"350",105,2,0,1
"351",105,3,0,1
"352",106,0,0,1
"353",106,1,0,1
"354",106,2,0,1
"355",106,3,0,1
"356",107,0,0,1
"357",107,1,0,1
"358",107,2,0,1
"359",107,3,0,1
"360",108,0,0,1
"361",108,1,0,1
"362",108,2,0,1
"363",108,3,0,1
"364",109,0,0,1
"365",109,1,0,1
"366",109,2,0,1
"367",109,3,0,1
"368",110,0,0,1
"369",110,1,0,1
"370",110,2,0,1
"371",110,3,0,1
"372",111,0,1,1
"373",111,2,1,0
"374",111,3,1,0
"375",112,0,1,1
"376",112,1,1,1
"377",112,2,0,1
"378",112,3,0,1
"379",113,0,0,1
"380",113,1,0,1
"381",113,2,0,1
"382",113,3,0,1
"383",114,0,0,1
"384",114,1,0,1
"385",114,2,0,1
"386",114,3,0,1
"387",115,0,1,1
"388",115,1,1,0
"389",115,2,1,0
"390",115,3,1,0
"391",117,0,0,0
"392",117,1,0,1
"393",117,2,0,0
"394",117,3,0,0
"395",119,0,0,1
"396",119,1,0,0
"397",119,2,0,1
"398",119,3,0,1
"399",120,0,0,1
"400",120,1,0,0
"401",120,2,0,1
"402",120,3,1,1
"403",121,0,0,0
"404",121,1,0,0
"405",121,2,0,1
